station,year,peak_date,peak_cm
lensk,2008,2008-06-11,858
lensk,2009,2009-05-05,1353
lensk,2010,2010-05-15,1210
lensk,2011,2011-05-03,1222
lensk,2012,2012-05-12,1066
lensk,2013,2013-05-08,1210
lensk,2014,2014-04-28,792
lensk,2015,2015-05-06,803
lensk,2016,2016-05-13,981
lensk,2017,2017-05-15,722
lensk,2018,2018-05-08,931
lensk,2019,2019-05-14,885
lensk,2020,2020-05-05,1098
lensk,2021,2021-06-10,821
lensk,2022,2022-05-12,841
lensk,2023,2023-05-15,1351
olekminsk,2008,2008-06-11,779
olekminsk,2009,2009-06-11,920
olekminsk,2010,2010-05-18,1076
olekminsk,2011,2011-05-09,1048
olekminsk,2012,2012-06-11,1011
olekminsk,2013,2013-05-09,951
olekminsk,2014,2014-05-02,638
olekminsk,2015,2015-05-08,876
olekminsk,2016,2016-06-09,868
olekminsk,2017,2017-05-31,637
olekminsk,2018,2018-06-05,847
olekminsk,2019,2019-06-16,756
olekminsk,2020,2020-05-31,751
olekminsk,2021,2021-05-11,786
olekminsk,2022,2022-05-20,960
olekminsk,2023,2023-05-14,907
yakutsk,2008,2008-05-20,651
yakutsk,2009,2009-06-14,558
yakutsk,2010,2010-05-21,845
yakutsk,2011,2011-05-16,829
yakutsk,2012,2012-05-20,704
yakutsk,2013,2013-05-16,747
yakutsk,2014,2014-05-13,432
yakutsk,2015,2015-05-14,644
yakutsk,2016,2016-06-13,536
yakutsk,2017,2017-05-19,527
yakutsk,2018,2018-05-16,654
yakutsk,2019,2019-05-20,468
yakutsk,2020,2020-05-14,854
yakutsk,2021,2021-05-20,600
yakutsk,2022,2022-05-23,733
yakutsk,2023,2023-05-20,596
zhigansk,2008,2008-05-29,1241
zhigansk,2009,2009-05-28,1039
zhigansk,2010,2010-05-29,968
zhigansk,2011,2011-05-23,1007
zhigansk,2012,2012-05-24,1107
zhigansk,2013,2013-05-22,1121
zhigansk,2014,2014-05-21,1062
zhigansk,2015,2015-05-25,1331
zhigansk,2016,2016-05-23,863
zhigansk,2017,2017-05-30,914
zhigansk,2018,2018-05-27,1467
zhigansk,2019,2019-05-27,1374
zhigansk,2020,2020-05-23,1039
zhigansk,2021,2021-05-26,910
zhigansk,2022,2022-05-29,1092
zhigansk,2023,2023-05-31,1226
pokrovsk,2008,2008-05-19,803
pokrovsk,2009,2009-05-15,799
pokrovsk,2010,2010-05-20,1123
pokrovsk,2011,2011-05-13,827
pokrovsk,2012,2012-05-19,879
pokrovsk,2013,2013-05-14,935
pokrovsk,2014,2014-05-07,703
pokrovsk,2015,2015-05-12,816
pokrovsk,2016,2016-06-12,732
pokrovsk,2017,2017-05-18,666
pokrovsk,2018,2018-05-17,899
pokrovsk,2019,2019-05-19,652
pokrovsk,2020,2020-05-13,828
pokrovsk,2021,2021-05-19,740
pokrovsk,2022,2022-05-23,834
pokrovsk,2023,2023-05-19,798
