date_start,date_end,type_chs,location,region,season_type,damage_rub
2008-05-12,2008-05-26,Половодье,"(реки Амга, Колыма, Алдан)",Республика Саха (Якутия),весенний,
2008-05-12,2008-05-19,Половодье,(р. Амга),Республика Саха (Якутия),весенний,
2008-05-24,2008-05-25,Половодье,(р. Лена),Республика Саха (Якутия),весенний,
2008-06-01,2008-06-30,Чрезвычайная пожароопасность,"(г.Якутск, Алданский, Олекминский  р-ны)",Республика Саха (Якутия),весенний,
2008-07-17,2008-07-21,Чрезвычайная пожароопасность,"(Хангаласский, Чурапчинский р-оны)",Республика Саха (Якутия),другой,
2008-07-31,2008-07-31,Паводок,"(реки Сартанг, Дулгалах, Адыча (притоки р.Яна))",Республика Саха (Якутия),другой,
2008-08-01,2008-08-07,Чрезвычайная пожароопасность,(Верхоянский район),Республика Саха (Якутия),другой,
2009-05-01,2009-05-01,Половодье,(р. Амга),Республика Саха (Якутия),весенний,
2009-05-12,2009-05-12,Снег,,Республика Саха (Якутия),весенний,
2009-06-17,2009-06-24,Чрезвычайная пожароопасность,,Республика Саха (Якутия),весенний,
2009-07-03,2009-07-04,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2009-07-31,2009-07-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2010-05-20,2010-05-22,Затор,(р. Лена),Республика Саха (Якутия),весенний,
2010-07-22,2010-08-05,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2010-07-29,2010-07-29,Ветер,(Хангаласский район),Республика Саха (Якутия),другой,
2011-05-16,2011-05-17,Затор,(р. Лена),Республика Саха (Якутия),весенний,
2011-05-28,2011-05-28,Чрезвычайная пожароопасность,(Алданский район),Республика Саха (Якутия),весенний,
2011-06-03,2011-06-24,Чрезвычайная пожароопасность,,Республика Саха (Якутия),весенний,
2011-06-05,2011-06-08,Паводок,"(Верхнеколымский район, п.Зырянка)",Республика Саха (Якутия),весенний,
2011-07-21,2011-07-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2011-08-03,2011-08-09,Чрезвычайная пожароопасность,(Оймяконский район),Республика Саха (Якутия),другой,
2011-08-23,2011-08-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2012-05-14,2012-05-16,Половодье,(Олекминский район),Республика Саха (Якутия),весенний,
2012-05-15,2012-05-20,Половодье,(Верхоянский район),Республика Саха (Якутия),весенний,
2012-05-16,2012-05-19,Затор,"(реки Колыма, Яна)",Республика Саха (Якутия),весенний,
2012-05-19,2012-05-28,Половодье,(Усть-Янский район),Республика Саха (Якутия),весенний,
2012-05-19,2012-05-23,Половодье,(Среднеколымский район),Республика Саха (Якутия),весенний,
2012-06-11,2012-06-30,Чрезвычайная пожароопасность,"(Алданский, Овмякоиосий,  ЧурапчгаскмЯ,  Амгижкий районы)",Республика Саха (Якутия),весенний,
2012-07-10,2012-07-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2012-08-01,2012-08-19,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2013-05-10,2013-05-19,Затор,"(реки Лена, Колыма, Амга)",Республика Саха (Якутия),весенний,
2013-05-10,2013-05-19,Половодье,"(реки Лена, Колыма, Амга)",Республика Саха (Якутия),весенний,
2013-05-15,2013-05-18,Затор, (река Колыма г. Среднеколымск,Республика Саха (Якутия),весенний,
2013-06-27,2013-08-31,Чрезвычайная пожароопасность,(Мирнинский и Вилюйский районы) - август,Республика Саха (Якутия),весенний,
2013-07-27,2013-07-29,Паводок,(р. Яна),Республика Саха (Якутия),другой,
2013-07-27,2013-07-30,Паводок,(р. Индигирка),Республика Саха (Якутия),другой,
2013-07-28,2013-07-30,Паводок,(р. Индигирка),Республика Саха (Якутия),другой,
2014-05-03,2014-05-06,Затор,(р. Амга),Республика Саха (Якутия),весенний,
