period,year,month,station_id,station_name,tmean_month,tmean_z,precip_month,precip_z,winter_thaw_days,winter_thaw_z,max_daily_precip,signals,triggered_parameters,risk_points,severity
2008-02,2008,2,24343,Жиганск,-31.63,0.69,35.0,3.32,0,,6.1,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2008-03,2008,3,24944,Олёкминск,-8.28,1.52,12.3,0.22,3,2.44,4.6,много дней оттепели,month ∈ X–IV; winter_thaw_days > 0; winter_thaw_z ≥ 2,2,умеренная
2008-03,2008,3,24959,Якутск,-13.25,1.47,20.7,1.97,0,-0.58,5.4,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2008-04,2008,4,24688,Оймякон,-14.17,-1.62,13.4,1.95,0,-0.71,2.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2008-06,2008,6,30230,Киренск,18.63,2.35,72.7,0.23,0,,21.1,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2008-08,2008,8,24944,Олёкминск,14.35,-0.38,135.1,2.21,0,,36.1,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2008-10,2008,10,30230,Киренск,0.55,0.7,41.9,1.81,23,1.43,6.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2008-10,2008,10,24944,Олёкминск,-2.33,0.59,35.1,1.87,10,0.39,6.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2008-11,2008,11,30230,Киренск,-12.09,0.71,34.9,1.26,1,-0.2,5.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2008-12,2008,12,30230,Киренск,-21.9,0.66,40.3,1.36,0,-0.26,5.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2008-12,2008,12,24688,Оймякон,-45.67,-0.48,17.5,1.54,0,,2.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2009-04,2009,4,24266,Верхоянск,-9.48,-0.19,8.7,1.54,7,0.84,3.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2009-05,2009,5,24266,Верхоянск,3.15,-1.02,45.6,2.41,0,,8.0,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2009-05,2009,5,24944,Олёкминск,5.28,-2.28,75.2,1.87,0,,20.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2009-06,2009,6,24688,Оймякон,16.87,3.02,22.5,-0.86,0,,12.9,аномально тёплый месяц,tmean_z ≥ 2,1,экстремальная
2009-09,2009,9,24266,Верхоянск,4.67,1.39,49.2,2.58,0,,13.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2009-09,2009,9,24688,Оймякон,4.83,2.06,13.6,-0.79,0,,4.6,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2009-10,2009,10,24688,Оймякон,-11.05,0.85,3.7,-1.2,4,6.78,1.2,много дней оттепели,month ∈ X–IV; winter_thaw_days > 0; winter_thaw_z ≥ 2,2,экстремальная
2009-10,2009,10,24959,Якутск,-5.3,0.12,33.2,1.35,10,1.68,5.5,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2010-05,2010,5,24266,Верхоянск,8.14,2.3,32.6,1.03,0,,9.8,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
