post,year,annual_peak_cm,annual_peak_date,spring_peak_cm,spring_peak_date,spring_min_cm,spring_amplitude_cm,max_rise_7d_cm_day,max_fall_7d_cm_day,rise_start_date,days_from_rise_to_peak,days_above_p90,days_above_p95,p90_level_cm,p95_level_cm,annual_peak_cm_z,spring_peak_cm_z,spring_amplitude_cm_z,max_rise_7d_cm_day_z,days_above_p90_z,days_above_p95_z
Витим,2008,802.0,2008-06-10,802.0,2008-06-10,43.0,759.0,79.28571428571429,-47.142857142857146,2008-05-11,30,43,21,470.0,588.5,0.36660259704297,0.42608640888481686,0.14333005696359571,0.30358563261840765,0.5182255808698778,0.37241844494863036
Витим,2009,927.0,2009-06-09,927.0,2009-06-09,60.0,867.0,77.14285714285714,-39.857142857142854,2009-05-01,39,49,25,470.0,588.5,1.7448078490842105,1.6014971920153462,1.1380061149278262,0.17324475278223922,0.854371903596285,0.7281614371383669
Витим,2010,724.0,2010-05-19,724.0,2010-05-19,12.0,712.0,76.71428571428571,-43.42857142857143,2010-05-10,9,28,15,470.0,588.5,-0.49339748023076413,-0.30736991978863343,-0.2895382275208379,0.14717657681500554,-0.3221402259461402,-0.16119604333597434
Витим,2011,827.0,2011-04-30,827.0,2011-04-30,-17.0,844.0,115.57142857142857,-71.71428571428571,2011-04-29,1,11,3,470.0,588.5,0.6422436474512181,0.6611685655109227,0.9261769544354438,2.5106911978441824,-1.274554807004294,-1.2284250199051838
Витим,2012,939.0,2012-06-08,939.0,2012-06-08,-27.0,966.0,81.0,-57.142857142857146,2012-05-10,29,74,46,470.0,588.5,1.8771155532801695,1.714336627195877,2.0497925013950375,0.40785833648734154,2.2549815816229817,2.595812146134483
Витим,2013,667.0,2013-05-06,667.0,2013-05-06,47.0,620.0,86.57142857142857,-32.714285714285715,2013-05-05,1,21,9,470.0,588.5,-1.1218590751615698,-0.8433572368961548,-1.1368548694903677,0.7467446240613778,-0.7143109357936153,-0.694810531620579
Витим,2014,601.0,2014-06-15,601.0,2014-06-15,12.0,589.0,56.285714285714285,-30.714285714285715,2014-04-24,52,11,2,470.0,588.5,-1.849551448239345,-1.4639741303890743,-1.4223637379801004,-1.0954064776231274,-1.274554807004294,-1.3173607679526178
Витим,2015,711.0,2015-06-12,711.0,2015-06-12,-6.0,717.0,76.0,-44.0,2015-05-03,40,30,19,470.0,588.5,-0.6367308264430531,-0.42961264123420845,-0.24348841002249394,0.10372961686961664,-0.2100914517040045,0.19454694885376214
Витим,2016,744.0,2016-06-06,744.0,2016-06-06,-20.0,764.0,54.0,-29.142857142857142,2016-05-08,29,20,8,470.0,588.5,-0.2728846399041656,-0.11930419448774872,0.1893798744619397,-1.234436749448373,-0.7703353229146832,-0.7837462796680131
Витим,2017,728.0,2017-07-16,545.0,2017-05-28,-10.0,555.0,68.71428571428571,-36.57142857142857,2017-05-05,23,14,5,470.0,588.5,-0.4492949121654444,-1.9905581612315515,-1.7355024969688397,-0.3394293745733543,-1.1064816456410904,-1.0505535238103156
