date,year,month,station_id,station_name,tmean,tmean_norm,tmean_z,precip_mm,precip_p95,delta_tmean_1d,signals,triggered_parameters,risk_points,severity
2008-01-06,2008,1,30230,Киренск,-19.0,-25.84,0.62,0.5,2.9,8.0,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-09,2008,1,30230,Киренск,-20.7,-25.74,0.48,1.9,2.92,13.7,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-13,2008,1,30230,Киренск,-39.2,-26.79,-1.22,0.6,2.8,8.099999999999994,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-14,2008,1,30230,Киренск,-30.3,-27.17,-0.3,0.4,2.81,8.900000000000002,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-15,2008,1,24944,Олёкминск,-29.9,-33.19,0.38,1.2,2.13,10.100000000000001,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-19,2008,1,24266,Верхоянск,-36.7,-45.18,1.4,0.5,1.5,8.699999999999996,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-20,2008,1,24944,Олёкминск,-24.9,-32.22,0.84,0.0,2.17,10.600000000000001,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-21,2008,1,24266,Верхоянск,-29.3,-45.2,2.72,1.5,1.5,5.400000000000002,аномально тёплый день; экстремальные суточные осадки,tmean_z ≥ 2; precip_mm ≥ wet-day P95,3,умеренная
2008-01-21,2008,1,24959,Якутск,-35.8,-36.91,0.18,1.6,1.6,0.8000000000000043,экстремальные суточные осадки,precip_mm ≥ wet-day P95,2,умеренная
2008-01-22,2008,1,24266,Верхоянск,-25.3,-45.3,3.51,2.8,1.65,4.0,аномально тёплый день; экстремальные суточные осадки,tmean_z ≥ 2; precip_mm ≥ wet-day P95,3,экстремальная
2008-01-22,2008,1,24343,Жиганск,-31.0,-37.12,0.9,3.8,3.78,1.5,экстремальные суточные осадки,precip_mm ≥ wet-day P95,2,умеренная
2008-01-22,2008,1,24959,Якутск,-32.7,-36.73,0.67,1.9,1.6,3.0999999999999943,экстремальные суточные осадки,precip_mm ≥ wet-day P95,2,умеренная
2008-01-23,2008,1,24266,Верхоянск,-33.7,-45.15,2.03,0.4,1.74,-8.400000000000002,аномально тёплый день,tmean_z ≥ 2,1,умеренная
2008-01-23,2008,1,30230,Киренск,-16.0,-26.57,1.05,2.3,2.48,20.0,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-23,2008,1,24688,Оймякон,-42.6,-45.6,0.45,1.1,1.4,9.199999999999996,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-25,2008,1,24343,Жиганск,-35.6,-36.3,0.1,2.7,3.94,8.600000000000001,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-26,2008,1,24266,Верхоянск,-41.2,-44.33,0.5,1.8,1.97,9.799999999999997,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-01-31,2008,1,30230,Киренск,-14.0,-24.6,1.12,0.2,2.65,12.8,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-02-06,2008,2,24343,Жиганск,-26.6,-36.23,1.36,4.2,3.64,1.5,экстремальные суточные осадки,precip_mm ≥ wet-day P95,2,умеренная
2008-02-07,2008,2,24266,Верхоянск,-30.8,-43.94,2.01,0.3,2.02,8.400000000000002,аномально тёплый день; резкое потепление за сутки,tmean_z ≥ 2; delta_tmean_1d ≥ 8°C,2,умеренная
2008-02-08,2008,2,30230,Киренск,-12.2,-23.84,1.23,0.4,2.8,10.2,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-02-12,2008,2,24944,Олёкминск,-18.7,-27.46,1.13,0.2,2.45,13.3,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-02-14,2008,2,24343,Жиганск,-29.2,-33.93,0.71,3.8,2.73,8.599999999999998,экстремальные суточные осадки; резкое потепление за сутки,precip_mm ≥ wet-day P95; delta_tmean_1d ≥ 8°C,3,умеренная
2008-02-15,2008,2,24343,Жиганск,-21.1,-33.44,1.9,6.1,2.7,8.099999999999998,экстремальные суточные осадки; резкое потепление за сутки,precip_mm ≥ wet-day P95; delta_tmean_1d ≥ 8°C,3,экстремальная
2008-02-15,2008,2,24266,Верхоянск,-15.9,-42.88,3.96,0.0,1.6,27.800000000000004,аномально тёплый день; резкое потепление за сутки,tmean_z ≥ 2; delta_tmean_1d ≥ 8°C,2,экстремальная
2008-02-15,2008,2,30230,Киренск,-8.5,-21.91,1.49,1.4,2.89,11.600000000000001,резкое потепление за сутки,delta_tmean_1d ≥ 8°C,1,умеренная
2008-02-16,2008,2,24959,Якутск,-21.7,-32.27,2.15,0.3,1.8,9.900000000000002,аномально тёплый день; резкое потепление за сутки,tmean_z ≥ 2; delta_tmean_1d ≥ 8°C,2,умеренная
