year,TDD,TDD_z,FDD,FDD_z,thaw_d,n_moderate,n_extreme,сценарий,меры_реагирования
2008,2225.1,0.46,4255.0,0.98,0,0,0,Базовый,Плановый мониторинг температуры грунта (ежеквартально); Проверка состояния фундаментов зданий
2009,2247.4,0.72,4714.8,-1.06,0,1,1,Умеренный,Усиленный мониторинг (ежемесячно); Оповещение ответственных лиц о повышенном риске; Инспекция инженерной инфраструктуры; Готовность к развёртыванию аварийных бригад
2010,2179.8,-0.06,4690.7,-0.95,0,1,1,Умеренный,Усиленный мониторинг (ежемесячно); Оповещение ответственных лиц о повышенном риске; Инспекция инженерной инфраструктуры; Готовность к развёртыванию аварийных бригад
2011,2216.8,0.37,4419.9,0.25,0,1,1,Умеренный,Усиленный мониторинг (ежемесячно); Оповещение ответственных лиц о повышенном риске; Инспекция инженерной инфраструктуры; Готовность к развёртыванию аварийных бригад
2012,2244.3,0.69,4648.5,-0.77,0,1,1,Умеренный,Усиленный мониторинг (ежемесячно); Оповещение ответственных лиц о повышенном риске; Инспекция инженерной инфраструктуры; Готовность к развёртыванию аварийных бригад
2013,2141.8,-0.51,4760.6,-1.26,0,2,2,Высокий,Предупреждение населения о риске наводнения/подтопления; Приведение сил МЧС в готовность; Эвакуационный план для зон риска; Круглосуточный мониторинг уровня воды на гидропостах; Проверка дамб и водозащитных сооружений
2014,2180.2,-0.06,4361.6,0.51,1,2,2,Высокий,Предупреждение населения о риске наводнения/подтопления; Приведение сил МЧС в готовность; Эвакуационный план для зон риска; Круглосуточный мониторинг уровня воды на гидропостах; Проверка дамб и водозащитных сооружений
2015,2059.4,-1.46,4288.8,0.83,1,1,1,Умеренный,Усиленный мониторинг (ежемесячно); Оповещение ответственных лиц о повышенном риске; Инспекция инженерной инфраструктуры; Готовность к развёртыванию аварийных бригад
2016,1977.4,-2.42,4355.2,0.54,1,2,2,Высокий,Предупреждение населения о риске наводнения/подтопления; Приведение сил МЧС в готовность; Эвакуационный план для зон риска; Круглосуточный мониторинг уровня воды на гидропостах; Проверка дамб и водозащитных сооружений
2017,2190.8,0.06,4191.2,1.27,1,2,2,Высокий,Предупреждение населения о риске наводнения/подтопления; Приведение сил МЧС в готовность; Эвакуационный план для зон риска; Круглосуточный мониторинг уровня воды на гидропостах; Проверка дамб и водозащитных сооружений
2018,2183.1,-0.03,4775.0,-1.33,0,0,0,Базовый,Плановый мониторинг температуры грунта (ежеквартально); Проверка состояния фундаментов зданий
2019,2187.0,0.02,4236.7,1.07,0,2,1,Высокий,Предупреждение населения о риске наводнения/подтопления; Приведение сил МЧС в готовность; Эвакуационный план для зон риска; Круглосуточный мониторинг уровня воды на гидропостах; Проверка дамб и водозащитных сооружений
2020,2273.7,1.03,4212.0,1.18,0,4,3,Критический,Немедленное оповещение ГО и ЧС; Превентивная эвакуация населения из зон риска; Развёртывание аварийных и спасательных бригад; Запрос дополнительных ресурсов (федеральный уровень); Введение режима ЧС муниципального/регионального уровня; Мониторинг состояния жилого фонда и инфраструктуры
2021,2356.0,1.99,4647.0,-0.76,0,4,2,Высокий,Предупреждение населения о риске наводнения/подтопления; Приведение сил МЧС в готовность; Эвакуационный план для зон риска; Круглосуточный мониторинг уровня воды на гидропостах; Проверка дамб и водозащитных сооружений
2022,2167.7,-0.2,4312.6,0.73,0,3,2,Высокий,Предупреждение населения о риске наводнения/подтопления; Приведение сил МЧС в готовность; Эвакуационный план для зон риска; Круглосуточный мониторинг уровня воды на гидропостах; Проверка дамб и водозащитных сооружений
2023,2134.4,-0.59,4751.7,-1.22,1,3,3,Критический,Немедленное оповещение ГО и ЧС; Превентивная эвакуация населения из зон риска; Развёртывание аварийных и спасательных бригад; Запрос дополнительных ресурсов (федеральный уровень); Введение режима ЧС муниципального/регионального уровня; Мониторинг состояния жилого фонда и инфраструктуры
